Metric,Value
GET /notes response time,1.13
UI page load time,4.93
GET /notes response time,0.52
UI page load time,24.62
GET /notes response time,1.02
UI page load time,33.34
GET /notes response time,0.76
UI page load time,23.15
GET /notes response time,0.61
UI page load time,31.84
GET /notes response time,0.52
GET /notes response time,0.89
UI page load time,2.4
GET /notes response time,0.92
UI page load time,3.1
GET /notes response time,1.78
UI page load time,6.92
GET /notes response time,0.87
UI page load time,3.45
GET /notes response time,8.0
UI page load time,49.82
GET /notes response time,0.93
UI page load time,10.2
GET /notes response time,8.22
UI page load time,21.8
GET /notes response time,4.33
UI page load time,10.84
GET /notes response time,4.25
UI page load time,28.63
GET /notes response time,9.89
UI page load time,24.04
GET /notes response time,4.88
UI page load time,10.98
GET /notes response time,4.91
UI page load time,23.91
GET /notes response time,9.53
UI page load time,39.45
GET /notes response time,1.76
UI page load time,10.88
GET /notes response time,7.56
GET /notes response time,14.95
UI page load time,43.33
GET /notes response time,1.73
UI page load time,24.04
GET /notes response time,5.55
UI page load time,31.69
GET /notes response time,0.81
UI page load time,9.64
GET /notes response time,0.97
UI page load time,29.27
GET /notes response time,0.57
UI page load time,28.45
